attention_1,attention_2,attention_3,attention_4,attention_5,attention_6,attention_7,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,israel_sentiment_1,israel_sentiment_2,israel_sentiment_3,israel_sentiment_4,israel_sentiment_5,israel_sentiment_6,letter,antisemitism_1,antisemitism_2,antisemitism_3,antisemitism_4,antisemitism_5,report_eval,man_a,man_b,man_c,man_d,apartheid,antisemitism_opened,sex,sex_3_TEXT,state,race,race_6_TEXT,ethnicity,age_1,education,religion,religion_11_TEXT,partisanship,age,gender,hhi,ethnicity,hispanic,education,political_party,region,condition
"Below, you will see a series of statements. Please tell us whether you agree or disagree with each. statement. - In the United States, our people are not perfect, but our culture is superior to others.","Below, you will see a series of statements. Please tell us whether you agree or disagree with each. statement. - The use of military force only makes problems worse.","Below, you will see a series of statements. Please tell us whether you agree or disagree with each. statement. - Please click ""neither agree nor disagree"".","Below, you will see a series of statements. Please tell us whether you agree or disagree with each. statement. - Going to war is unfortunate, but sometimes the only solution.","Below, you will see a series of statements. Please tell us whether you agree or disagree with each. statement. - The best way to ensure peace is through military strength.","Below, you will see a series of statements. Please tell us whether you agree or disagree with each. statement. - 2+2=7","Below, you will see a series of statements. Please tell us whether you agree or disagree with each. statement. - The year 1910 came before the year 1920.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How much do you agree or disagree with the following statements? - The Israeli government is making a sincere effort toward peace.,How much do you agree or disagree with the following statements? - The U.S. government should minimize its aid to Israel.,How much do you agree or disagree with the following statements? - I generally sympathize more with the Israeli side in the Israeli-Palestinian conflict.,How much do you agree or disagree with the following statements? - Israel's treatment of its Palestinian citizens is shameful.,How much do you agree or disagree with the following statements? - I generally sympathize more with the Palestinian side in the Israeli-Palestinian conflict.,How much do you agree or disagree with the following statements? - I will try to avoid purchasing Israeli products whenever possible.,Would you like to write a letter to the US President about US-Israel relations?,How much do you agree of disagree with the following statements? - Jews are more loyal to Israel than to America.,How much do you agree of disagree with the following statements? - It is appropriate for opponents of Israel's policies and actions to boycott Jewish American owned businesses in their communities.,How much do you agree of disagree with the following statements? - Jews in the U.S. have too much power.,How much do you agree of disagree with the following statements? - Jews have lots of irritating faults.,How much do you agree of disagree with the following statements? - Jews don't care what happens to anyone but their own kind.,"In your opinion, how antisemitic, if at all, is Amnesty International's report?","Earlier in this survey, did you read a text about a report issued by Amnesty International?","Earlier in this survey, did you read that the director of Amnesty International USA
said that antisemitism is antithetical to everything Amnesty represents as a human
rights organization?","Earlier in this survey, did you read that Israel and its supporters said an Amnesty
International report is antisemitic?","Earlier in this survey, did you read that Israel and its supporters said an Amnesty
International report is inaccurate and echoes lies?",Please use your own words to define Apartheid. What is Apartheid?,Please use your own words to define Antisemitism. What is Antisemitism?,Are you: - Selected Choice,Are you: - Other - Text,"50 States, D.C. and Puerto Rico",Are you: - Selected Choice,Are you: - Other - Text,Are you:,What is your age? - years old,What is the highest level of school you have completed or the highest degree you have received?,"What is your present religion, if any? - Selected Choice","What is your present religion, if any? - Other - Text","Generally thinking, do you think of yourself as a:",age,gender,hhi,ethnicity,hispanic,education,political_party,region,condition
"{""ImportId"":""QID53_1""}","{""ImportId"":""QID53_2""}","{""ImportId"":""QID53_3""}","{""ImportId"":""QID53_4""}","{""ImportId"":""QID53_5""}","{""ImportId"":""QID53_6""}","{""ImportId"":""QID53_7""}","{""ImportId"":""QID74_FIRST_CLICK""}","{""ImportId"":""QID74_LAST_CLICK""}","{""ImportId"":""QID74_PAGE_SUBMIT""}","{""ImportId"":""QID74_CLICK_COUNT""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID109_2""}","{""ImportId"":""QID109_3""}","{""ImportId"":""QID109_4""}","{""ImportId"":""QID109_5""}","{""ImportId"":""QID109_6""}","{""ImportId"":""QID85""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID91_2""}","{""ImportId"":""QID91_3""}","{""ImportId"":""QID91_4""}","{""ImportId"":""QID91_5""}","{""ImportId"":""QID90""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_3_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID97""}","{""ImportId"":""QID97_6_TEXT""}","{""ImportId"":""QID96""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID28""}","{""ImportId"":""QID62""}","{""ImportId"":""QID62_11_TEXT""}","{""ImportId"":""QID95""}","{""ImportId"":""age""}","{""ImportId"":""gender""}","{""ImportId"":""hhi""}","{""ImportId"":""ethnicity""}","{""ImportId"":""hispanic""}","{""ImportId"":""education""}","{""ImportId"":""political_party""}","{""ImportId"":""region""}","{""ImportId"":""condition""}"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,22,2,1,2,10,1,
Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,1,1,1,2,4,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1,-3105,1,1,8,7,3,
Agree strongly,Agree strongly,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,1,2,1,2,3,3,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2,1,15,1,2,9,1,
Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Disagree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,1,2,1,2,1,3,
