"ID","choice_pre","choice_post","approval","democratic","knowledge","L1","L2","L3","M1","M2","M3","monthly_income","left_right","important_democracy","age_group","behavior","scenario","copartisan_support_pre","copartisan_support_post","outpartisan_support_pre","outpartisan_support_post","copartisan_shift","outpartisan_shift","switch_outpartisan","switch_abstain","inparty_strength","outparty_strength"
2,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",6,5,7,4,5,5,NA,4,6,3,"undemocratic","lose",6,7,2,2,1,0,0,0,5,1
3,"Civic Coalition (KO)","Civic Coalition (KO)",6,5,"knowledgeable",5,5,5,3,3,3,4,3,6,5,"democratic","lose",7,7,5,3,0,-2,0,0,5,1
4,"Civic Coalition (KO)","Civic Coalition (KO)",3,4,"knowledgeable",6,3,2,4,3,2,NA,3,7,2,"undemocratic","lose",6,6,2,2,0,0,0,0,4,1
5,"Civic Coalition (KO)","Civic Coalition (KO)",2,3,"knowledgeable",5,7,7,4,4,1,6,3,2,2,"democratic","win",4,4,1,1,0,0,0,0,4,1
6,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,7,7,5,3,4,5,3,7,3,"undemocratic","win",6,6,1,1,0,0,0,0,5,1
7,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",6,5,5,4,5,5,1,4,6,5,"democratic","lose",4,4,4,4,0,0,0,0,5,5
8,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"knowledgeable",7,7,6,4,2,5,3,6,7,5,"democratic","win",7,7,2,1,0,-1,0,0,6,2
10,"Civic Coalition (KO)","Civic Coalition (KO)",4,3,"knowledgeable",5,4,3,3,5,5,NA,4,4,1,"undemocratic","lose",7,6,6,5,-1,-1,0,0,3,3
11,"Civic Coalition (KO)","Civic Coalition (KO)",6,4,"knowledgeable",7,7,7,5,4,2,5,3,7,5,"undemocratic","win",7,7,1,1,0,0,0,0,5,1
12,"Civic Coalition (KO)","Civic Coalition (KO)",3,3,"knowledgeable",6,6,7,5,5,5,6,4,6,5,"undemocratic","win",7,6,1,1,-1,0,0,0,7,1
14,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",6,6,7,3,4,3,3,3,6,5,"democratic","win",6,6,1,2,0,1,0,0,5,1
15,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",7,7,3,7,7,6,5,2,6,5,"undemocratic","lose",7,7,3,3,0,0,0,0,7,1
16,"Civic Coalition (KO)","Civic Coalition (KO)",2,2,"knowledgeable",2,3,7,6,6,5,2,4,5,2,"democratic","lose",2,4,5,1,2,-4,0,0,3,1
17,"Civic Coalition (KO)","Civic Coalition (KO)",6,5,"knowledgeable",6,6,7,4,5,4,1,3,7,5,"undemocratic","lose",7,7,1,1,0,0,0,0,6,1
18,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,7,7,1,7,7,3,5,7,5,"undemocratic","win",7,7,1,1,0,0,0,0,7,1
19,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"knowledgeable",7,6,7,3,4,3,2,6,5,2,"democratic","lose",7,7,5,5,0,0,0,0,6,4
21,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"unknowledgeable",7,4,5,7,5,7,3,6,5,2,"democratic","lose",7,7,1,1,0,0,0,0,5,1
22,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",7,7,7,3,6,6,5,5,7,5,"democratic","win",7,7,1,1,0,0,0,0,5,1
23,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"unknowledgeable",6,6,7,4,3,4,4,4,7,2,"undemocratic","win",6,6,2,2,0,0,0,0,6,1
24,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",7,7,7,4,4,3,5,3,6,5,"democratic","win",6,6,1,2,0,1,0,0,5,1
25,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",7,7,6,4,5,4,NA,6,6,5,"undemocratic","lose",7,7,1,1,0,0,0,0,7,4
27,"Law and Justice (PiS)","Law and Justice (PiS)",5,6,"knowledgeable",7,6,7,6,4,4,2,5,6,4,"democratic","win",6,6,2,2,0,0,0,0,5,3
29,"Law and Justice (PiS)","Law and Justice (PiS)",6,6,"knowledgeable",7,5,6,7,7,7,3,6,6,5,"undemocratic","lose",7,7,5,4,0,-1,0,0,7,2
31,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"unknowledgeable",5,5,5,5,5,5,4,4,2,4,"democratic","lose",6,6,5,5,0,0,0,0,4,4
32,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"unknowledgeable",7,5,6,4,5,4,2,6,4,3,"undemocratic","win",6,6,1,1,0,0,0,0,4,1
33,"Law and Justice (PiS)","Law and Justice (PiS)",3,3,"knowledgeable",6,4,5,5,4,3,6,5,4,3,"undemocratic","lose",6,3,4,4,-3,0,0,0,6,2
35,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"knowledgeable",5,7,7,1,1,1,3,2,7,5,"democratic","win",7,7,1,1,0,0,0,0,4,1
36,"Civic Coalition (KO)","Civic Coalition (KO)",1,1,"unknowledgeable",6,7,7,2,1,4,4,3,7,5,"undemocratic","win",7,7,1,1,0,0,0,0,7,1
37,"Law and Justice (PiS)","Law and Justice (PiS)",5,5,"unknowledgeable",3,3,5,1,4,3,5,6,6,3,"democratic","lose",7,7,1,1,0,0,0,0,7,1
38,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",3,2,3,2,1,5,4,6,6,2,"democratic","lose",5,7,3,2,2,-1,0,0,4,1
40,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",5,4,6,2,6,3,1,4,6,5,"undemocratic","win",6,6,1,1,0,0,0,0,6,1
41,"Civic Coalition (KO)","Civic Coalition (KO)",4,5,"unknowledgeable",6,7,2,7,4,7,6,3,6,1,"democratic","win",4,7,1,1,3,0,0,0,3,1
42,"Civic Coalition (KO)","Civic Coalition (KO)",3,5,"unknowledgeable",6,7,6,4,3,3,3,4,6,5,"undemocratic","lose",7,7,1,1,0,0,0,0,5,1
43,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,7,7,4,7,3,NA,3,6,5,"undemocratic","lose",7,7,1,1,0,0,0,0,6,1
44,"Law and Justice (PiS)","Law and Justice (PiS)",4,2,"knowledgeable",5,5,7,3,3,3,4,5,3,1,"democratic","win",4,4,5,5,0,0,0,0,3,2
45,"Civic Coalition (KO)","Civic Coalition (KO)",7,7,"knowledgeable",7,7,7,7,7,7,2,2,7,4,"democratic","lose",7,7,1,1,0,0,0,0,7,1
46,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",5,3,7,5,4,5,5,5,6,2,"undemocratic","lose",7,6,1,1,-1,0,0,0,5,1
47,"Law and Justice (PiS)","Law and Justice (PiS)",4,3,"knowledgeable",5,4,6,5,5,3,1,4,4,5,"undemocratic","win",6,6,2,3,0,1,0,0,5,4
48,"Law and Justice (PiS)","Law and Justice (PiS)",4,4,"knowledgeable",7,5,5,3,5,5,4,6,6,5,"democratic","win",7,7,1,1,0,0,0,0,7,1
49,"Civic Coalition (KO)","Civic Coalition (KO)",4,4,"knowledgeable",7,5,6,5,4,4,5,4,4,4,"undemocratic","win",6,5,2,2,-1,0,0,0,4,3
50,"Law and Justice (PiS)","Law and Justice (PiS)",6,7,"knowledgeable",7,6,7,5,5,5,6,5,6,5,"democratic","lose",6,6,1,1,0,0,0,0,5,1
51,"Civic Coalition (KO)","Civic Coalition (KO)",5,5,"knowledgeable",6,4,6,4,6,4,3,4,6,5,"democratic","lose",7,7,1,1,0,0,0,0,5,1
54,"Law and Justice (PiS)","Law and Justice (PiS)",6,6,"knowledgeable",5,5,6,5,5,6,5,6,4,3,"democratic","lose",6,7,1,1,1,0,0,0,5,2
