file_id,filename,content_type,file_size,dataset_doi
1549155,imputeme.R,text/plain; charset=US-ASCII,5421,doi:10.7910/DVN/OTF0JB
1549095,new data commands.R,text/plain; charset=US-ASCII,3363,doi:10.7910/DVN/OTF0JB
1549092,Replication Commands - All.R,text/plain; charset=US-ASCII,6240,doi:10.7910/DVN/OTF0JB
1549161,final paper code.R,text/plain; charset=US-ASCII,61335,doi:10.7910/DVN/9EPJON
1544592,AhlquistAPSR2010replicationCode.R,text/plain; charset=US-ASCII,27665,doi:10.7910/DVN/92YTR4
2139475,APSR_hyp_tests2.do,text/x-stata-syntax; charset=US-ASCII,19308,doi:10.7910/DVN/FHQOQI
2296256,Hagerdal and Masterson Arab Media Rep Code.R,text/plain; charset=US-ASCII,12156,doi:10.7910/DVN/PX85ZN
2298523,APSRReplicationZiblatt.do,text/x-stata-syntax; charset=US-ASCII,8046,doi:10.7910/DVN/FFXKHO
2419495,Aggregate level models.do,text/x-stata-syntax; charset=US-ASCII,3663,doi:10.7910/DVN/CTQKJA
2419496,Individual level models.do,text/x-stata-syntax; charset=US-ASCII,530,doi:10.7910/DVN/CTQKJA
2440455,Quality_Over_Quantity_2013APSR_Replication_Code.do,text/x-stata-syntax; charset=US-ASCII,3179,doi:10.7910/DVN/WC8DPI
2436084,IchinoNathan_APSR_pollingstation_analysis.R,text/plain; charset=US-ASCII,8758,doi:10.7910/DVN/IQW9LQ
2436082,IchinoNathan_APSR_survey_analysis.do,text/x-stata-syntax; charset=US-ASCII,10053,doi:10.7910/DVN/IQW9LQ
2436086,IchinoNathan_APSR_survey_figures.R,text/plain; charset=US-ASCII,42161,doi:10.7910/DVN/IQW9LQ
2443695,dj_mendelbergkarpowitzgoedert_tablecode.do,text/x-stata-syntax; charset=US-ASCII,10250,doi:10.7910/DVN/NUACCP
2435230,model-FamilyHarm.R,text/plain; charset=US-ASCII,4113,doi:10.7910/DVN/CXNXEZ
2435229,model-ManteqaHarm.R,text/plain; charset=US-ASCII,4107,doi:10.7910/DVN/CXNXEZ
2435228,model-NoCovariates.R,text/plain; charset=US-ASCII,5116,doi:10.7910/DVN/CXNXEZ
2435223,model-ProTaliban.R,text/plain; charset=US-ASCII,4298,doi:10.7910/DVN/CXNXEZ
2435231,ModelVillageDistrictProvinceCovariates.R,text/plain; charset=US-ASCII,4920,doi:10.7910/DVN/CXNXEZ
2435224,replication.R,text/plain; charset=US-ASCII,109053,doi:10.7910/DVN/CXNXEZ
2446391,1_Figure2.R,text/plain; charset=US-ASCII,712,doi:10.7910/DVN1/22691
2446419,2_Figure2.R,text/plain; charset=US-ASCII,712,doi:10.7910/DVN1/22691
2446405,Figure3.R,text/plain; charset=US-ASCII,1192,doi:10.7910/DVN1/22691
2446402,Figure5RCode.R,text/plain; charset=US-ASCII,5801,doi:10.7910/DVN1/22691
2446399,Figure6RCode.R,text/plain; charset=US-ASCII,6031,doi:10.7910/DVN1/22691
2446400,Figure7RCode.R,text/plain; charset=US-ASCII,2589,doi:10.7910/DVN1/22691
2446428,Figure8RCode.R,text/plain; charset=US-ASCII,6358,doi:10.7910/DVN1/22691
2446427,Figure9RCode.R,text/plain; charset=US-ASCII,1914,doi:10.7910/DVN1/22691
2446393,ReadMeAWWInnerMongoliaFuZhouCIs.R,text/plain; charset=US-ASCII,4532,doi:10.7910/DVN1/22691
2446406,ReadMeFoodPricesCorruptionOneChildCIs.R,text/plain; charset=US-ASCII,2256,doi:10.7910/DVN1/22691
2446418,ReadmeRandomCIs.R,text/plain; charset=US-ASCII,2137,doi:10.7910/DVN1/22691
2448952,samii-bdi-army-apsr-rep.do,text/x-stata-syntax; charset=US-ASCII,12930,doi:10.7910/DVN/23402
2433440,ReplicationCellPhonesIVandPanel.do,text/x-stata-syntax; charset=US-ASCII,3524,doi:10.7910/DVN/V7C4V9
2433442,ReplicationCellPhones.R,text/plain; charset=US-ASCII,37028,doi:10.7910/DVN/V7C4V9
2446200,MaleskySchulerTran_replicationApril2013_em.do,text/x-stata-syntax; charset=US-ASCII,43242,doi:10.7910/DVN1/22636
2509563,Create Figure 3.R,text/plain; charset=US-ASCII,4884,doi:10.7910/DVN/26564
2509565,Create Figure 4.R,text/plain; charset=US-ASCII,5535,doi:10.7910/DVN/26564
2475033,Estim Nonmet Vector Model.R,text/plain; charset=US-ASCII,5185,doi:10.7910/DVN/26564
2509569,Run Circ Reg and Create Figure 5.R,text/plain; charset=US-ASCII,4955,doi:10.7910/DVN/26564
2498181,analysis_NEWBLOCKS.R,text/plain; charset=US-ASCII,18509,doi:10.7910/DVN/27192
2498180,appendix_final_NEWBLOCKS.R,text/plain; charset=US-ASCII,31407,doi:10.7910/DVN/27192
2498168,functions_final_NEWBLOCKS.R,text/plain; charset=US-ASCII,13052,doi:10.7910/DVN/27192
2498179,GHS.replicate_NEWBLOCKS.R,text/plain; charset=US-ASCII,1035,doi:10.7910/DVN/27192
2498176,prepare_NEWBLOCKS.r,text/plain; charset=US-ASCII,1956,doi:10.7910/DVN/27192
2498171,print.all.tables.NEWBLOCKS.R,text/plain; charset=US-ASCII,1364,doi:10.7910/DVN/27192
2491896,Data analysis.do,text/x-stata-syntax; charset=US-ASCII,14541,doi:10.7910/DVN/26937
2512330,Replication_main_September2014_Finalv2.R,text/plain; charset=US-ASCII,65189,doi:10.7910/DVN/28158
2512329,Replication_SI_September2014_final.R,text/plain; charset=US-ASCII,72232,doi:10.7910/DVN/28158
2499578,replicationdofile-CarpenterandMoore-WhenCanvassersBecameActivistsAPSR2014.do,text/x-stata-syntax; charset=US-ASCII,3574,doi:10.7910/DVN/27176
2730701,1st stage Final APSR.do,application/x-stata-syntax,5530,doi:10.7910/DVN/K7292I
2730704,2nd stage Final APSR.do,application/x-stata-syntax,9749,doi:10.7910/DVN/K7292I
2730708,FGLS.do,application/x-stata-syntax,809,doi:10.7910/DVN/K7292I
2676751,dhb2015apsr-modellinks-QAPiters.R,text/plain; charset=US-ASCII,3033,doi:10.7910/DVN/A1GIMB
2676758,gaming.replication.R,text/plain; charset=US-ASCII,10470,doi:10.7910/DVN/A1GIMB
2676755,infer_networks.R,text/plain; charset=US-ASCII,14810,doi:10.7910/DVN/A1GIMB
2676760,lottery.replication.R,text/plain; charset=US-ASCII,9631,doi:10.7910/DVN/A1GIMB
2676756,pooled.replication.R,text/plain; charset=US-ASCII,9654,doi:10.7910/DVN/A1GIMB
2676762,punishment.replication.R,text/plain; charset=US-ASCII,10769,doi:10.7910/DVN/A1GIMB
2676761,smoking.replication.R,text/plain; charset=US-ASCII,12255,doi:10.7910/DVN/A1GIMB
2679495,city_analysis_file0_create_finaldata.r,text/plain; charset=US-ASCII,3905,doi:10.7910/DVN/AXVEXM
2679498,city_analysis_replication.R,text/plain; charset=US-ASCII,62622,doi:10.7910/DVN/AXVEXM
2679494,regression.jags,text/plain; charset=US-ASCII,1402,doi:10.7910/DVN/AXVEXM
2680574,20130702_APSR_30indicators0608.do,application/x-stata-syntax,5271,doi:10.7910/DVN/IUG2C4
2680580,20130702_APSR_30indicators0810.do,application/x-stata-syntax,5278,doi:10.7910/DVN/IUG2C4
