dataset_doi,llm_fig1
doi:10.7910/DVN/00CIUU,TRUE
doi:10.7910/DVN/01HXNF,TRUE
doi:10.7910/DVN/01LN9W,FALSE
doi:10.7910/DVN/03CDTK,TRUE
doi:10.7910/DVN/03MTMJ,FALSE
doi:10.7910/DVN/06ITCK,TRUE
doi:10.7910/DVN/082VIU,FALSE
doi:10.7910/DVN/0BSMHG,FALSE
doi:10.7910/DVN/0DCWT7,TRUE
doi:10.7910/DVN/0DLNBL,TRUE
doi:10.7910/DVN/0E9KON,FALSE
doi:10.7910/DVN/0EIQXL,TRUE
doi:10.7910/DVN/0MOPI4,FALSE
doi:10.7910/DVN/0MXT0H,TRUE
doi:10.7910/DVN/0ONBF6,TRUE
doi:10.7910/DVN/0PY9EA,FALSE
doi:10.7910/DVN/0QOVCH,TRUE
doi:10.7910/DVN/0UTWWV,TRUE
doi:10.7910/DVN/0XEUCP,FALSE
doi:10.7910/DVN/0XS5NX,TRUE
doi:10.7910/DVN/0Y1E2B,FALSE
doi:10.7910/DVN/0Y8IKW,TRUE
doi:10.7910/DVN/0YHJRG,TRUE
doi:10.7910/DVN/10VFQX,FALSE
doi:10.7910/DVN/14RSGX,TRUE
doi:10.7910/DVN/16VWOB,FALSE
doi:10.7910/DVN/18EH2Y,TRUE
doi:10.7910/DVN/18XSG8,TRUE
doi:10.7910/DVN/193ZDD,TRUE
doi:10.7910/DVN/19FLXV,TRUE
doi:10.7910/DVN/19FSQZ,FALSE
doi:10.7910/DVN/1CKNTW,FALSE
doi:10.7910/DVN/1CNMHF,TRUE
doi:10.7910/DVN/1E8HF3,TRUE
doi:10.7910/DVN/1GLFE1,FALSE
doi:10.7910/DVN/1HNIFT,TRUE
doi:10.7910/DVN/1HOVTU,TRUE
doi:10.7910/DVN/1L325J,TRUE
doi:10.7910/DVN/1OPRYA,TRUE
doi:10.7910/DVN/1QZ0JZ,FALSE
doi:10.7910/DVN/1SQ68U,TRUE
doi:10.7910/DVN/1SU7J4,TRUE
doi:10.7910/DVN/1U5WZT,TRUE
doi:10.7910/DVN/1UZGWL,FALSE
doi:10.7910/DVN/1Y2DLT,TRUE
doi:10.7910/DVN/1YK9ON,FALSE
doi:10.7910/DVN/1ZOEEX,FALSE
doi:10.7910/DVN/22976,FALSE
doi:10.7910/DVN/23063,TRUE
doi:10.7910/DVN/23302,TRUE
doi:10.7910/DVN/23402,TRUE
