dataset_doi,n_pairs,n_vars,censored,year
doi:10.7910/DVN/00CIUU,5,8,FALSE,2020
doi:10.7910/DVN/01HXNF,5,7,FALSE,2023
doi:10.7910/DVN/03CDTK,2,3,FALSE,2018
doi:10.7910/DVN/06ITCK,1,2,FALSE,2020
doi:10.7910/DVN/0DCWT7,20,16,TRUE,2022
doi:10.7910/DVN/0DLNBL,5,7,FALSE,2018
doi:10.7910/DVN/0MXT0H,3,4,FALSE,2020
doi:10.7910/DVN/0ONBF6,30,11,TRUE,2021
doi:10.7910/DVN/0QOVCH,3,4,FALSE,2020
doi:10.7910/DVN/0UTWWV,60,27,TRUE,2022
doi:10.7910/DVN/0XS5NX,5,6,FALSE,2021
doi:10.7910/DVN/0Y8IKW,6,6,FALSE,2022
doi:10.7910/DVN/0YHJRG,24,24,FALSE,2023
doi:10.7910/DVN/14RSGX,15,20,FALSE,2016
doi:10.7910/DVN/18EH2Y,10,7,FALSE,2020
doi:10.7910/DVN/18XSG8,3,4,FALSE,2021
doi:10.7910/DVN/193ZDD,12,9,FALSE,2015
doi:10.7910/DVN/19FLXV,11,12,FALSE,2020
doi:10.7910/DVN/1CNMHF,5,4,FALSE,2021
doi:10.7910/DVN/1E8HF3,2,4,FALSE,2024
doi:10.7910/DVN/1HNIFT,20,20,FALSE,2018
doi:10.7910/DVN/1HOVTU,1,2,FALSE,2016
doi:10.7910/DVN/1L325J,3,4,FALSE,2024
doi:10.7910/DVN/1OPRYA,27,15,TRUE,2023
doi:10.7910/DVN/1SQ68U,6,5,FALSE,2021
doi:10.7910/DVN/1SU7J4,24,21,FALSE,2023
doi:10.7910/DVN/1U5WZT,29,17,FALSE,2017
doi:10.7910/DVN/1Y2DLT,26,16,FALSE,2020
doi:10.7910/DVN/23063,1,2,FALSE,2013
doi:10.7910/DVN/23302,1,2,FALSE,2013
doi:10.7910/DVN/23402,6,6,FALSE,2013
doi:10.7910/DVN/23818,3,5,FALSE,2013
doi:10.7910/DVN/24220,2,3,FALSE,2014
doi:10.7910/DVN/24387,2,4,FALSE,2014
doi:10.7910/DVN/24591,12,8,FALSE,2014
doi:10.7910/DVN/24800,14,9,FALSE,2014
doi:10.7910/DVN/24859,1,2,FALSE,2014
doi:10.7910/DVN/24975,1,2,FALSE,2014
doi:10.7910/DVN/25423,37,32,FALSE,2014
doi:10.7910/DVN/25505,9,9,FALSE,2014
doi:10.7910/DVN/25531,1,2,FALSE,2014
doi:10.7910/DVN/26461,5,4,FALSE,2014
doi:10.7910/DVN/26522,15,8,FALSE,2014
doi:10.7910/DVN/26544,2,3,FALSE,2014
doi:10.7910/DVN/26570,74,24,TRUE,2014
doi:10.7910/DVN/26584,1,2,FALSE,2014
doi:10.7910/DVN/26586,3,3,FALSE,2014
doi:10.7910/DVN/26714,6,7,FALSE,2014
doi:10.7910/DVN/26721,17,10,FALSE,2014
doi:10.7910/DVN/26P4MC,3,4,FALSE,2024
doi:10.7910/DVN/27192,8,10,FALSE,2014
doi:10.7910/DVN/27217,1,2,FALSE,2014
doi:10.7910/DVN/27512,15,17,TRUE,2014
doi:10.7910/DVN/27624,3,4,FALSE,2014
doi:10.7910/DVN/27631,2,4,FALSE,2014
doi:10.7910/DVN/27662,3,3,FALSE,2014
doi:10.7910/DVN/28158,11,12,FALSE,2014
doi:10.7910/DVN/28870,1,2,FALSE,2015
doi:10.7910/DVN/29040,7,7,FALSE,2015
doi:10.7910/DVN/29095,5,6,FALSE,2015
doi:10.7910/DVN/29117,8,9,FALSE,2015
doi:10.7910/DVN/29205,14,23,FALSE,2015
doi:10.7910/DVN/29286,3,3,FALSE,2015
doi:10.7910/DVN/29314,18,17,FALSE,2015
doi:10.7910/DVN/29379,2,3,TRUE,2015
doi:10.7910/DVN/29427,13,9,FALSE,2015
doi:10.7910/DVN/29487,5,6,FALSE,2015
doi:10.7910/DVN/29566,1,2,FALSE,2015
doi:10.7910/DVN/2CLJPA,1,2,FALSE,2019
doi:10.7910/DVN/2CS1VF,1,2,FALSE,2018
doi:10.7910/DVN/2CVG5E,7,8,TRUE,2024
doi:10.7910/DVN/2E2M9Z,19,12,FALSE,2018
doi:10.7910/DVN/2E4MOZ,28,17,FALSE,2023
doi:10.7910/DVN/2JKWNS,15,10,FALSE,2021
doi:10.7910/DVN/2LH0BZ,6,8,FALSE,2021
doi:10.7910/DVN/2O7CN0,2,3,FALSE,2018
doi:10.7910/DVN/2UUQ25,3,3,FALSE,2018
doi:10.7910/DVN/2VF2J0,17,13,FALSE,2018
doi:10.7910/DVN/2VHCON,1,2,FALSE,2022
doi:10.7910/DVN/2WRQWZ,1,2,FALSE,2024
doi:10.7910/DVN/2YA2VU,5,4,FALSE,2024
doi:10.7910/DVN/33K3EF,2,3,FALSE,2020
