file_id,filename,dataset_doi,interactions,ml_het,hierarchical,n_lines,parse_error
1549155,imputeme.R,doi:10.7910/DVN/OTF0JB,0,0,0,272,FALSE
1549095,new data commands.R,doi:10.7910/DVN/OTF0JB,0,0,0,111,FALSE
1549092,Replication Commands - All.R,doi:10.7910/DVN/OTF0JB,0,0,1,202,FALSE
1549161,final paper code.R,doi:10.7910/DVN/9EPJON,0,0,1,1565,FALSE
1544592,AhlquistAPSR2010replicationCode.R,doi:10.7910/DVN/92YTR4,0,0,1,758,FALSE
2139475,APSR_hyp_tests2.do,doi:10.7910/DVN/FHQOQI,0,0,0,354,FALSE
2296256,Hagerdal and Masterson Arab Media Rep Code.R,doi:10.7910/DVN/PX85ZN,0,0,0,406,FALSE
2298523,APSRReplicationZiblatt.do,doi:10.7910/DVN/FFXKHO,0,0,0,167,FALSE
2419495,Aggregate level models.do,doi:10.7910/DVN/CTQKJA,0,0,0,34,FALSE
2419496,Individual level models.do,doi:10.7910/DVN/CTQKJA,0,0,0,5,FALSE
2440455,Quality_Over_Quantity_2013APSR_Replication_Code.do,doi:10.7910/DVN/WC8DPI,1,0,0,82,FALSE
2436084,IchinoNathan_APSR_pollingstation_analysis.R,doi:10.7910/DVN/IQW9LQ,1,0,2,180,FALSE
2436082,IchinoNathan_APSR_survey_analysis.do,doi:10.7910/DVN/IQW9LQ,0,0,0,194,FALSE
2436086,IchinoNathan_APSR_survey_figures.R,doi:10.7910/DVN/IQW9LQ,1,0,0,919,FALSE
2443695,dj_mendelbergkarpowitzgoedert_tablecode.do,doi:10.7910/DVN/NUACCP,2,0,1,266,FALSE
2435230,model-FamilyHarm.R,doi:10.7910/DVN/CXNXEZ,0,0,0,87,FALSE
2435229,model-ManteqaHarm.R,doi:10.7910/DVN/CXNXEZ,0,0,0,87,FALSE
2435228,model-NoCovariates.R,doi:10.7910/DVN/CXNXEZ,0,0,1,133,FALSE
2435223,model-ProTaliban.R,doi:10.7910/DVN/CXNXEZ,0,0,0,90,FALSE
2435231,ModelVillageDistrictProvinceCovariates.R,doi:10.7910/DVN/CXNXEZ,0,0,0,151,FALSE
2435224,replication.R,doi:10.7910/DVN/CXNXEZ,0,0,1,1924,FALSE
2446391,1_Figure2.R,doi:10.7910/DVN1/22691,0,0,0,15,FALSE
2446419,2_Figure2.R,doi:10.7910/DVN1/22691,0,0,0,15,FALSE
2446405,Figure3.R,doi:10.7910/DVN1/22691,0,0,0,33,FALSE
2446402,Figure5RCode.R,doi:10.7910/DVN1/22691,0,0,0,95,FALSE
2446399,Figure6RCode.R,doi:10.7910/DVN1/22691,0,0,0,102,FALSE
2446400,Figure7RCode.R,doi:10.7910/DVN1/22691,0,0,0,43,FALSE
2446428,Figure8RCode.R,doi:10.7910/DVN1/22691,0,0,0,160,FALSE
2446427,Figure9RCode.R,doi:10.7910/DVN1/22691,0,0,0,41,FALSE
2446393,ReadMeAWWInnerMongoliaFuZhouCIs.R,doi:10.7910/DVN1/22691,0,0,0,125,FALSE
2446406,ReadMeFoodPricesCorruptionOneChildCIs.R,doi:10.7910/DVN1/22691,0,0,0,65,FALSE
2446418,ReadmeRandomCIs.R,doi:10.7910/DVN1/22691,0,0,0,53,FALSE
2448952,samii-bdi-army-apsr-rep.do,doi:10.7910/DVN/23402,0,0,0,255,FALSE
2433440,ReplicationCellPhonesIVandPanel.do,doi:10.7910/DVN/V7C4V9,0,0,0,69,FALSE
2433442,ReplicationCellPhones.R,doi:10.7910/DVN/V7C4V9,0,0,2,964,FALSE
2446200,MaleskySchulerTran_replicationApril2013_em.do,doi:10.7910/DVN1/22636,0,0,0,781,FALSE
2509563,Create Figure 3.R,doi:10.7910/DVN/26564,0,0,0,175,FALSE
2509565,Create Figure 4.R,doi:10.7910/DVN/26564,0,0,0,201,FALSE
2475033,Estim Nonmet Vector Model.R,doi:10.7910/DVN/26564,0,0,0,244,FALSE
2509569,Run Circ Reg and Create Figure 5.R,doi:10.7910/DVN/26564,0,0,0,184,FALSE
2498181,analysis_NEWBLOCKS.R,doi:10.7910/DVN/27192,2,0,0,410,FALSE
2498180,appendix_final_NEWBLOCKS.R,doi:10.7910/DVN/27192,3,0,1,734,FALSE
2498168,functions_final_NEWBLOCKS.R,doi:10.7910/DVN/27192,2,0,1,281,FALSE
2498179,GHS.replicate_NEWBLOCKS.R,doi:10.7910/DVN/27192,0,0,0,49,FALSE
2498176,prepare_NEWBLOCKS.r,doi:10.7910/DVN/27192,0,0,0,68,FALSE
2498171,print.all.tables.NEWBLOCKS.R,doi:10.7910/DVN/27192,0,0,0,35,FALSE
2491896,Data analysis.do,doi:10.7910/DVN/26937,0,0,4,281,FALSE
2512330,Replication_main_September2014_Finalv2.R,doi:10.7910/DVN/28158,1,0,2,1240,FALSE
2512329,Replication_SI_September2014_final.R,doi:10.7910/DVN/28158,2,0,2,1354,FALSE
2499578,replicationdofile-CarpenterandMoore-WhenCanvassersBecameActivistsAPSR2014.do,doi:10.7910/DVN/27176,0,0,0,29,FALSE
2730701,1st stage Final APSR.do,doi:10.7910/DVN/K7292I,0,0,0,200,FALSE
2730704,2nd stage Final APSR.do,doi:10.7910/DVN/K7292I,0,0,0,325,FALSE
2730708,FGLS.do,doi:10.7910/DVN/K7292I,0,0,0,41,FALSE
2676751,dhb2015apsr-modellinks-QAPiters.R,doi:10.7910/DVN/A1GIMB,0,0,2,83,FALSE
2676758,gaming.replication.R,doi:10.7910/DVN/A1GIMB,0,0,0,273,FALSE
2676755,infer_networks.R,doi:10.7910/DVN/A1GIMB,0,0,0,454,FALSE
2676760,lottery.replication.R,doi:10.7910/DVN/A1GIMB,0,0,0,269,FALSE
2676756,pooled.replication.R,doi:10.7910/DVN/A1GIMB,0,0,0,257,FALSE
2676762,punishment.replication.R,doi:10.7910/DVN/A1GIMB,0,0,0,280,FALSE
2676761,smoking.replication.R,doi:10.7910/DVN/A1GIMB,0,0,0,285,FALSE
2679495,city_analysis_file0_create_finaldata.r,doi:10.7910/DVN/AXVEXM,0,0,0,112,FALSE
2679498,city_analysis_replication.R,doi:10.7910/DVN/AXVEXM,1,0,2,1163,FALSE
2679494,regression.jags,doi:10.7910/DVN/AXVEXM,0,0,0,52,FALSE
2680574,20130702_APSR_30indicators0608.do,doi:10.7910/DVN/IUG2C4,0,0,0,158,FALSE
2680580,20130702_APSR_30indicators0810.do,doi:10.7910/DVN/IUG2C4,0,0,0,143,FALSE
2680589,20130702_APSR_BudgetTransfers.do,doi:10.7910/DVN/IUG2C4,0,0,0,99,FALSE
2680590,20130702_APSR_Hawthorne.do,doi:10.7910/DVN/IUG2C4,0,0,0,85,FALSE
2680577,20130702_APSR_MechanismCorruption.do,doi:10.7910/DVN/IUG2C4,0,0,0,228,FALSE
2680576,20130702_APSR_MonteCarlo.do,doi:10.7910/DVN/IUG2C4,0,0,0,180,FALSE
2680592,20130702_APSR_RandomizationInferenceGraphs.do,doi:10.7910/DVN/IUG2C4,0,0,0,194,FALSE
2680583,20130702_APSR_SOEs.do,doi:10.7910/DVN/IUG2C4,0,0,0,538,FALSE
2680599,20130927_APSR_ate.do,doi:10.7910/DVN/IUG2C4,0,0,1,150,FALSE
2685217,Functions.R,doi:10.7910/DVN/DK4FXA,0,0,2,1029,FALSE
2685220,RepCode.R,doi:10.7910/DVN/DK4FXA,0,0,1,837,FALSE
2544446,Berliner_Erlich2015_code.R,doi:10.7910/DVN/29347,0,0,0,426,FALSE
2696851,model-FamilyHarm.R,doi:10.7910/DVN/WBI9RT,0,0,0,87,FALSE
2696842,model-ManteqaHarm.R,doi:10.7910/DVN/WBI9RT,0,0,0,87,FALSE
2696836,model-NoCovariates.R,doi:10.7910/DVN/WBI9RT,0,0,1,133,FALSE
2696835,model-ProTaliban.R,doi:10.7910/DVN/WBI9RT,0,0,0,90,FALSE
2696850,ModelVillageDistrictProvinceCovariates.R,doi:10.7910/DVN/WBI9RT,0,0,0,151,FALSE
2696840,replication.R,doi:10.7910/DVN/WBI9RT,0,0,1,1924,FALSE
2808064,Figure_1.R,doi:10.7910/DVN/ZFS7LI,0,0,0,126,FALSE
2808062,Figure_4.R,doi:10.7910/DVN/ZFS7LI,0,0,1,181,FALSE
2808059,Figure_A10.R,doi:10.7910/DVN/ZFS7LI,0,0,1,263,FALSE
2808060,Figure_A11.R,doi:10.7910/DVN/ZFS7LI,0,0,1,243,FALSE
2808065,Figure_A1.R,doi:10.7910/DVN/ZFS7LI,0,0,0,294,FALSE
2808049,Figure_A3.R,doi:10.7910/DVN/ZFS7LI,0,0,1,139,FALSE
2808047,Figure_A4.R,doi:10.7910/DVN/ZFS7LI,0,0,1,155,FALSE
2808054,Figure_A5.R,doi:10.7910/DVN/ZFS7LI,0,0,0,170,FALSE
2808051,Figure_A7.R,doi:10.7910/DVN/ZFS7LI,0,0,1,120,FALSE
2808057,Figure_A8.R,doi:10.7910/DVN/ZFS7LI,0,0,1,163,FALSE
2808061,Figure_A9.R,doi:10.7910/DVN/ZFS7LI,0,0,1,143,FALSE
2808055,Figures_2_A2.R,doi:10.7910/DVN/ZFS7LI,0,0,0,174,FALSE
2808050,Figures_3_A6.R,doi:10.7910/DVN/ZFS7LI,0,0,1,222,FALSE
2808056,Medicaid_2008_11_average_effects.R,doi:10.7910/DVN/ZFS7LI,0,0,0,372,FALSE
2808048,Medicaid_2010_05_average_effects.R,doi:10.7910/DVN/ZFS7LI,0,0,0,263,FALSE
2808063,tables_Experiment_1.R,doi:10.7910/DVN/ZFS7LI,0,0,1,101,FALSE
