dataset_doi,interactions,ml_het,hierarchical,variant,any_het,year,deposit_year
doi:10.7910/DVN/00CIUU,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/01HXNF,TRUE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/01LN9W,TRUE,FALSE,FALSE,as_published,TRUE,2017,2017
doi:10.7910/DVN/03CDTK,FALSE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/03MTMJ,TRUE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/06ITCK,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/082VIU,FALSE,FALSE,TRUE,as_published,TRUE,2021,2021
doi:10.7910/DVN/0BSMHG,FALSE,FALSE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/0DCWT7,TRUE,FALSE,TRUE,as_published,TRUE,2022,2022
doi:10.7910/DVN/0DLNBL,TRUE,FALSE,FALSE,as_published,TRUE,2018,2018
doi:10.7910/DVN/0E9KON,FALSE,FALSE,FALSE,as_published,FALSE,2016,2016
doi:10.7910/DVN/0EIQXL,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/0MOPI4,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/0MXT0H,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/0ONBF6,TRUE,FALSE,FALSE,as_published,TRUE,2021,2021
doi:10.7910/DVN/0PY9EA,FALSE,FALSE,FALSE,as_published,FALSE,2023,2023
doi:10.7910/DVN/0QOVCH,FALSE,FALSE,FALSE,as_published,FALSE,2020,2020
doi:10.7910/DVN/0UTWWV,TRUE,FALSE,TRUE,as_published,TRUE,2022,2022
doi:10.7910/DVN/0XEUCP,FALSE,FALSE,TRUE,as_published,TRUE,2017,2017
doi:10.7910/DVN/0XS5NX,TRUE,TRUE,TRUE,as_published,TRUE,2021,2021
doi:10.7910/DVN/0Y1E2B,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/0Y8IKW,TRUE,FALSE,TRUE,as_published,TRUE,2022,2022
