caseid,weight,treatment,q16,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,q21_1,q21_2,q21_3,q21_4,q21_5,q21_6,q21_7,q21_8,q21_9,q21_10,q1s,q6s,q3s,q4a,q4b,q5,q7,q135,q136,q137,q123,q124,q125,q129s,q130s,q131s,q132s,q141s,birthyr,gender,race,educ,marstat,employ,faminc_new,child18,pid3,pid7,presvote16post,presvote20post,inputstate,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,casualties,casualties_dummy,casualties_9,casualties_50,casualties_250,democracy,nuclear,ally,q135a,mc_1,mc_1_broad,mc_2,mc_3,mc_all,mc_all_broad,casualties_dummy_perceived,casualties_perceived,casualties_9_perceived,casualties_50_perceived,casualties_250_perceived,nuclear_perceived,ally_perceived,commitments,honorable,interests,prevent,age,female,republican,democrat,nationalism,nationalism_dummy,hawkishness,hawkishness_dummy,isolationism,isolationism_dummy,stronger_nonmilitary,stronger_military,stronger_military2,moderate_nonmilitary,moderate_military,weak_nonmilitary,weak_military,x_noforce,x_force,t_mean_noforce,t_upper_noforce,t_lower_noforce,t_mean_force,t_upper_force,t_lower_force,pvalue_force,pvalue_noforce,x_9,x_50,x_250,t_mean_9,t_upper_9,t_lower_9,t_mean_50,t_upper_50,t_lower_50,t_mean_250,t_upper_250,t_lower_250,pvalue_0_9,pvalue_9_50,pvalue_50_250,_est_m1,_est_m1a,_est_m3,_est_m3a,_est_m4,_est_m4a,_est_m2a,_est_m2
1464042671,.630328101311259,Group 22,46226,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,Somewhat agree,Strongly agree,Somewhat agree,Can't be too careful,Somewhat superior,Very many,Somewhat agree,250,Yes,0,Yes,,Launch airstrikes against Country A's forces,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,1993,Male,White,4-year,Married,Full-time,"$100,000 - $119,999",No,Republican,Strong Republican,Did not vote for President,Joe Biden,Indiana,No,Very conservative,Hardly at all,Roman Catholic,Once a week,No,Somewhat important,A few times a week,1937772209000,1937772327000,9,1,1,0,0,1,1,0,250,0,1,1,1,0,1,1,250,0,0,1,1,0,1,1,1,1,2.8,0,1,0,1.3333334,0,2,0,3,1,,0,0,,0,,1,1,1,-.067564793,-.016616823,-.11851276,.031253111,.088595897,-.026089674,,,.5,1,1.5,.0012968541,.023109883,-.020516174,.0020080321,.023414915,-.019398851,.0069242488,.029788043,-.015939545,,,,1,1,1,0,1,0,1,1
1464042775,.751885006813293,Group 7,8807,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,Strongly disagree,Somewhat agree,Strongly disagree,Can't be too careful,Not at all superior,Very many,Somewhat agree,50,Yes,0,Yes,,Send ground troops to attack Country A's forces,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,1996,Female,White,Post-grad,Never married,Full-time,"$40,000 - $49,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,New Jersey,Yes,Very liberal,Some of the time,Atheist,Never,No,Not at all important,Never,1937772286000,1937772477000,50,1,0,1,0,0,1,0,50,1,1,1,1,1,1,1,50,0,1,0,1,0,1,0,1,0,2.5,1,0,1,0,0,.33333334,0,3,1,,0,1,,1,,0,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464042785,1.30531883928116,Group 2,35209,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,selected,not selected,not selected,selected,selected,selected,selected,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Can trust other nations,A little superior,A few,Neither agree nor disagree,9,0,0,Yes,,Launch airstrikes against Country A's forces,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1992,Male,Hispanic,4-year,Never married,Part-time,Prefer not to say,No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Alabama,Yes,Liberal,Most of the time,Agnostic,Seldom,No,Not too important,Seldom,1937772294000,1937772658000,9,1,1,0,0,0,0,0,9,1,1,1,1,1,1,1,9,1,0,0,0,0,0,0,0,0,2.9000001,0,0,1,2,0,2.3333333,1,2,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464042817,.808169402201098,Group 1,63121,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,selected,not selected,not selected,not selected,selected,selected,selected,Somewhat disagree,Somewhat agree,Somewhat agree,Can trust other nations,Not at all superior,A few,Neither agree nor disagree,0,0,0,0,Lodge a diplomatic protest,,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,1995,Male,White,Post-grad,Never married,Full-time,"$120,000 - $149,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Missouri,Yes,Very liberal,Most of the time,Atheist,Never,No,Not at all important,Never,1937772313000,1937772773000,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,2.5999999,0,0,1,1.3333334,0,1.6666666,0,2,0,0,,,1,,0,,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1463920355,.750789636894782,Group 26,27546,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,selected,not selected,not selected,not selected,selected,selected,selected,Somewhat agree,Strongly agree,Somewhat agree,Can't be too careful,Very superior,Some,Somewhat disagree,9,0,Yes,0,Impose economic sanctions on the attacker,,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,1938,Male,White,Post-grad,Married,Retired,"$100,000 - $119,999",No,Independent,Independent,Donald Trump,Joe Biden,North Carolina,Yes,Moderate,Most of the time,Protestant,Once a week,No,Very important,Several times a day,1937772396000,1937772784000,9,1,1,0,0,1,0,1,9,1,1,1,1,1,1,1,9,1,0,0,0,1,1,0,0,0,8.3000002,0,0,0,2.6666667,1,2,0,1,0,1,,,0,,0,,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464042875,.316512965476009,Group 15,48178,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,Strongly agree,Strongly disagree,Strongly agree,Can't be too careful,Somewhat superior,Some,Strongly disagree,50,Yes,0,0,Impose economic sanctions on the attacker,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,1959,Male,White,4-year,Married,Full-time,"$120,000 - $149,999",No,Independent,Independent,Gary Johnson,Jo Jorgensen,Michigan,Yes,Moderate,Some of the time,Roman Catholic,A few times a year,No,Somewhat important,A few times a week,1937772357000,1937772793000,50,1,0,1,0,0,1,1,50,1,1,1,0,0,0,1,50,0,1,0,1,0,0,0,0,0,6.1999998,0,0,0,2,0,4,1,0,0,1,,,0,,0,,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,0,1,0,1,0,0,1
1464043203,.747568072528326,Group 31,95824,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,Strongly agree,Strongly disagree,Neither agree nor disagree,Can't be too careful,Very superior,None,Strongly agree,9,Yes,Yes,Yes,,Launch airstrikes against Country A's forces,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1961,Female,White,No HS,Separated,Permanently disabled,"$10,000 - $19,999",No,Democrat,Strong Democrat,Did not vote for President,Joe Biden,California,Yes,Very conservative,Only now and then,Roman Catholic,Once or twice a month,Yes,Somewhat important,Several times a day,1937772557000,1937772923000,50,1,0,1,0,1,1,1,9,0,1,1,1,0,1,1,9,1,0,0,1,1,1,1,1,1,6,1,0,1,4,1,3.3333333,1,4,1,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,0,1,0,1,1
1464043431,1.31029911611186,Group 23,89012,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,Strongly agree,Somewhat agree,Somewhat agree,Can't be too careful,Somewhat superior,Some,Neither agree nor disagree,9,Yes,Yes,Yes,,Use nuclear weapons against Country A's forces,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,1953,Female,White,4-year,Married,Retired,"$80,000 - $99,999",No,Republican,Strong Republican,Donald Trump,Donald Trump,Nevada,Yes,Very conservative,Only now and then,Nothing in particular,Never,No,Not too important,Seldom,1937772717000,1937772937000,50,1,0,1,0,1,1,0,9,0,1,1,0,0,0,1,9,1,0,0,1,1,0,0,1,1,6.8000002,1,1,0,2,0,2.6666667,1,2,0,,1,1,,0,,0,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,0,1,0,1,0,0,1
1464043057,.9981994465798451,Group 30,34769,not selected,not selected,not selected,not selected,selected,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,selected,selected,Neither agree nor disagree,Somewhat agree,Somewhat agree,Can trust other nations,Somewhat superior,Very many,Somewhat disagree,9,Yes,Yes,Yes,,Launch airstrikes against Country A's forces,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,1993,Male,White,Post-grad,Never married,Unemployed,"$80,000 - $99,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Florida,Yes,Very liberal,Most of the time,Atheist,Never,No,Not at all important,Never,1937772468000,1937772991000,9,1,1,0,0,1,1,1,9,1,1,1,1,1,1,1,9,1,0,0,1,1,1,0,1,0,2.8,0,0,1,1.3333334,0,2,0,1,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
1464043199,.761233551439919,Group 32,46814,not selected,not selected,not selected,not selected,selected,not selected,not selected,selected,selected,not selected,not selected,not selected,not selected,selected,selected,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Can trust other nations,Not at all superior,Some,Somewhat disagree,250,Yes,Yes,Yes,,Launch airstrikes against Country A's forces,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,1968,Female,White,4-year,Married,Homemaker,"$150,000 - $199,999",No,Democrat,Strong Democrat,Hillary Clinton,Joe Biden,Indiana,Yes,Liberal,Most of the time,Atheist,Never,No,Not at all important,Never,1937772555000,1937773036000,250,1,0,0,1,1,1,1,250,1,1,1,1,1,1,1,250,0,0,1,1,1,1,1,1,0,5.3000002,1,0,1,.66666669,0,1.3333334,0,1,0,,0,0,,0,,1,1,1,,,,,,,,,.5,1,1.5,,,,,,,,,,,,,1,1,1,1,1,1,1,1
